variant,lgbm,xgb,cat,mean,worst,recent,2016_may_aug,2016_sep_dec,2017_jan_apr
add_assigned_lab,1,3,2,0.9180295704362947,0.9153653021038147,0.9153653021038147,0.9208339823593252,0.917889426845744,0.9153653021038147
add_assigned_lab,1,3,3,0.9179901762320605,0.9151748651584052,0.9151748651584052,0.9210805521739311,0.9177151113638449,0.9151748651584052
add_assigned_lab,1,3,4,0.9178403998113276,0.9149394618307052,0.9149394618307052,0.9211372262399887,0.9174445113632889,0.9149394618307052
add_assigned_lab,1,4,0,0.9166828593790061,0.9149554249721448,0.9149554249721448,0.9183776221321355,0.9167155310327382,0.9149554249721448
add_assigned_lab,1,4,1,0.9175927293667964,0.9153435837500915,0.9153435837500915,0.9198543912130543,0.9175802131372435,0.9153435837500915
add_assigned_lab,1,4,2,0.9179264557792212,0.9153708301366664,0.9153708301366664,0.9206113879958923,0.9177971492051049,0.9153708301366664
add_assigned_lab,1,4,3,0.9179922894210623,0.9152598605566586,0.9152598605566586,0.9209459737904014,0.9177710339161267,0.9152598605566586
add_assigned_lab,1,4,4,0.9179350456025986,0.9150941255881827,0.9150941255881827,0.9210928684755505,0.9176181427440628,0.9150941255881827
add_assigned_lab,2,0,1,0.9169333673064145,0.9149254675776785,0.9149254675776785,0.9190788245847457,0.9167958097568196,0.9149254675776785
add_assigned_lab,2,0,2,0.9171648207322374,0.9148018819665331,0.9148018819665331,0.9199338748153296,0.9167587054148494,0.9148018819665331
add_assigned_lab,2,0,3,0.9169907976916406,0.9144605372969259,0.9144605372969259,0.9201211207571612,0.9163907350208349,0.9144605372969259
add_assigned_lab,2,0,4,0.916740450451517,0.914122994096485,0.914122994096485,0.9200957356088151,0.916002621649251,0.914122994096485
add_assigned_lab,2,1,0,0.9164942396029864,0.9148487566560546,0.9148487566560546,0.9178337546031382,0.9168002075497661,0.9148487566560546
add_assigned_lab,2,1,1,0.9177008082919881,0.915420249235829,0.915420249235829,0.9199203608010742,0.917761814839061,0.915420249235829
add_assigned_lab,2,1,2,0.9178319936004801,0.9152802158337886,0.9152802158337886,0.9205580420870708,0.9176577228805809,0.9152802158337886
add_assigned_lab,2,1,3,0.9176773164510412,0.9149968625005876,0.9149968625005876,0.92072787349916,0.917307213353376,0.9149968625005876
add_assigned_lab,2,1,4,0.9174395268307004,0.9146821735510313,0.9146821735510313,0.9207132783637643,0.9169231285773058,0.9146821735510313
add_assigned_lab,2,2,0,0.9169027129554074,0.9151003957405128,0.9151003957405128,0.9184576992911152,0.9171500438345939,0.9151003957405128
